date,time,weather,temperature,body_tem,rain_per,wet_per,comfort
2021-08-10 (二),18:00,短暫陣雨,30,36,30%,81%,悶熱
2021-08-10 (二),21:00,多雲,29,34,30%,88%,悶熱
2021-08-11 (三),00:00,陰,28,34,20%,88%,悶熱
2021-08-11 (三),03:00,多雲,28,33,20%,91%,舒適
2021-08-11 (三),06:00,多雲,27,32,20%,89%,舒適
2021-08-11 (三),09:00,多雲,30,36,20%,77%,悶熱
2021-08-11 (三),12:00,陰,33,40,50%,72%,悶熱
2021-08-11 (三),15:00,午後短暫雷陣雨,33,39,50%,80%,悶熱
2021-08-11 (三),18:00,多雲,30,37,10%,85%,悶熱
2021-08-11 (三),21:00,多雲,29,35,10%,88%,悶熱
2021-08-12 (四),00:00,多雲,28,34,10%,87%,悶熱
2021-08-12 (四),03:00,多雲,28,33,10%,90%,舒適
2021-08-12 (四),06:00,多雲,27,32,20%,87%,舒適
2021-08-12 (四),09:00,多雲,31,36,20%,76%,悶熱
2021-08-12 (四),12:00,午後短暫雷陣雨,34,40,50%,67%,悶熱
2021-08-12 (四),15:00,午後短暫雷陣雨,33,40,50%,77%,悶熱
2021-08-12 (四),18:00,短暫陣雨,31,37,30%,85%,悶熱
